City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Minab,IR,57.2,mist,27.1467,57.0801,Bam campground
3,Nchelenge,ZM,72.12,overcast clouds,-9.3451,28.734,KD Travellers Home
5,Los Llanos De Aridane,ES,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
6,Nouakchott,MR,77.0,sand,18.0858,-15.9785,Hôtel Iman
9,Mbandaka,CD,73.62,overcast clouds,0.0487,18.2603,Guest House Epervier
10,Rincon,US,53.6,broken clouds,32.296,-81.2354,Bent tree subdivision
12,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
14,Nouadhibou,MR,69.8,dust,20.930999999999997,-17.0347,El Medina
15,Sao Filipe,CV,71.89,broken clouds,14.8961,-24.4956,Tortuga B&B
16,Okitipupa,NG,77.54,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
17,Ponta Do Sol,PT,55.99,broken clouds,32.6667,-17.1,Hotel do Campo
19,Ribeira Grande,PT,60.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
22,Ndago,TZ,62.37,light rain,-4.6,34.35,
23,Soyo,AO,79.86,overcast clouds,-6.1349,12.3689,Hotel Mpampa
24,Beira,MZ,78.8,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
27,Bubaque,GW,77.77,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
28,Saint George,US,62.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Sur,OM,66.31,clear sky,22.5667,59.5289,Sur Plaza Hotel
32,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
33,Adrar,MR,62.91,overcast clouds,20.5022,-10.0711,
34,Ambovombe,MG,77.11,clear sky,-25.1667,46.0833,RELAHARA
35,Richards Bay,ZA,73.85,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
37,Victoria,HK,61.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
38,Calvinia,ZA,61.59,clear sky,-31.4707,19.776,Die Lemoenhuis
39,Bam,IR,50.25,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
40,Tripoli,LY,55.8,light rain,32.8752,13.1875,Al Waddan Hotel
43,Tarrafal,CV,71.6,clear sky,15.2833,-23.7667,Hotel Ixola
44,San Martin,AR,73.4,clear sky,-33.080999999999996,-68.4681,Finca Vivencias
