City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
0,Minab,27.1467,57.0801,57.2,82,20,4.61,IR,2021-01-16 19:49:38,mist
1,Rio De Janeiro,-22.9028,-43.2075,100.4,62,20,10.36,BR,2021-01-16 19:45:49,few clouds
2,Hithadhoo,-0.6,73.0833,81.16,76,100,10.96,MV,2021-01-16 19:46:49,overcast clouds
3,Nchelenge,-9.3451,28.734,72.12,77,100,5.3,ZM,2021-01-16 19:49:39,overcast clouds
4,Bathsheba,13.2167,-59.5167,84.2,54,20,20.71,BB,2021-01-16 19:47:18,few clouds
5,Los Llanos De Aridane,28.6585,-17.9182,64.4,59,75,10.36,ES,2021-01-16 19:49:39,broken clouds
6,Nouakchott,18.0858,-15.9785,77.0,6,100,10.36,MR,2021-01-16 19:48:54,sand
7,Georgetown,5.4112,100.3354,80.01,83,20,5.26,MY,2021-01-16 19:49:39,few clouds
8,Samana,19.2056,-69.3369,86.0,74,20,9.22,DO,2021-01-16 19:49:39,few clouds
9,Mbandaka,0.0487,18.2603,73.62,80,97,1.77,CD,2021-01-16 19:49:39,overcast clouds
10,Rincon,32.296,-81.2354,53.6,32,75,21.85,US,2021-01-16 19:45:31,broken clouds
11,Amapa,1.0,-52.0,80.11,90,31,3.51,BR,2021-01-16 19:49:39,scattered clouds
12,Marawi,7.9986,124.2928,73.99,96,100,4.0,PH,2021-01-16 19:49:39,overcast clouds
13,Rehoboth,-23.3167,17.0833,78.33,47,99,6.02,NA,2021-01-16 19:46:03,overcast clouds
14,Nouadhibou,20.931,-17.0347,69.8,35,98,12.66,MR,2021-01-16 19:49:39,dust
15,Sao Filipe,14.8961,-24.4956,71.89,75,53,10.27,CV,2021-01-16 19:49:39,broken clouds
16,Okitipupa,6.5047,4.7839,77.54,81,33,3.29,NG,2021-01-16 19:49:39,scattered clouds
17,Ponta Do Sol,32.6667,-17.1,55.99,56,79,3.0,PT,2021-01-16 19:49:39,broken clouds
18,Yarim,14.298,44.3779,49.44,46,0,3.11,YE,2021-01-16 19:49:39,clear sky
19,Ribeira Grande,38.5167,-28.7,60.8,94,75,4.61,PT,2021-01-16 19:49:39,broken clouds
20,Piacabucu,-10.4056,-36.4344,80.85,69,96,12.91,BR,2021-01-16 19:49:39,overcast clouds
21,Kavaratti,10.5669,72.642,81.66,77,0,7.25,IN,2021-01-16 19:49:40,light rain
22,Ndago,-4.6,34.35,62.37,92,0,3.83,TZ,2021-01-16 19:49:40,light rain
23,Soyo,-6.1349,12.3689,79.86,76,96,10.74,AO,2021-01-16 19:49:40,overcast clouds
24,Beira,-19.8436,34.8389,78.8,89,75,17.27,MZ,2021-01-16 19:49:40,broken clouds
25,Jamestown,42.097,-79.2353,36.0,80,90,10.36,US,2021-01-16 19:49:26,light rain
26,Sinnamary,5.3833,-52.95,80.37,76,67,12.39,GF,2021-01-16 19:49:40,broken clouds
27,Bubaque,11.2833,-15.8333,77.77,72,91,15.73,GW,2021-01-16 19:49:40,overcast clouds
28,Saint George,37.1041,-113.5841,62.01,28,1,3.44,US,2021-01-16 19:49:40,clear sky
29,Caravelas,-17.7125,-39.2481,80.47,69,20,10.78,BR,2021-01-16 19:47:17,few clouds
30,Sur,22.5667,59.5289,66.31,67,0,2.42,OM,2021-01-16 19:49:40,clear sky
31,Nalut,30.3333,10.85,46.17,59,0,8.86,LY,2021-01-16 19:49:40,clear sky
32,Lamu,-2.2717,40.902,78.8,83,1,5.75,KE,2021-01-16 19:49:40,clear sky
33,Adrar,20.5022,-10.0711,62.91,21,100,12.41,MR,2021-01-16 19:46:42,overcast clouds
34,Ambovombe,-25.1667,46.0833,77.11,85,3,6.98,MG,2021-01-16 19:49:40,clear sky
35,Richards Bay,-28.783,32.0377,73.85,88,97,7.38,ZA,2021-01-16 19:47:13,light rain
36,Anloga,5.7947,0.8973,82.4,83,20,10.36,GH,2021-01-16 19:49:40,few clouds
37,Victoria,22.2855,114.1577,61.0,78,96,1.01,HK,2021-01-16 19:44:47,overcast clouds
38,Calvinia,-31.4707,19.776,61.59,65,0,6.96,ZA,2021-01-16 19:49:41,clear sky
39,Bam,29.106,58.357,50.25,36,0,1.97,IR,2021-01-16 19:49:41,clear sky
