City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Devonport,-41.1667,146.35,50.0,92,0,8.97,AU,2021-01-15 13:44:07
1,Hithadhoo,-0.6,73.0833,82.06,78,98,15.14,MV,2021-01-15 13:42:42
2,Rikitea,-23.1203,-134.9692,77.5,70,0,6.89,PF,2021-01-15 13:44:07
3,New Norfolk,-42.7826,147.0587,54.0,65,89,3.0,AU,2021-01-15 13:44:07
4,Heze,35.2431,115.4411,34.7,77,64,7.05,CN,2021-01-15 13:44:07
5,Saint-Philippe,-21.3585,55.7679,84.2,74,20,17.27,RE,2021-01-15 13:44:07
6,Qaanaaq,77.484,-69.3632,11.35,85,100,1.34,GL,2021-01-15 13:44:07
7,Torbay,47.6666,-52.7314,32.0,100,90,14.97,CA,2021-01-15 13:44:08
8,Castro,-24.7911,-50.0119,71.49,78,88,8.63,BR,2021-01-15 13:40:21
9,Mataura,-46.1927,168.8643,53.15,95,21,0.51,NZ,2021-01-15 13:44:08
10,Busselton,-33.65,115.3333,66.0,62,0,1.99,AU,2021-01-15 13:43:03
11,Corn Island,12.1694,-83.0418,79.7,75,76,13.91,NI,2021-01-15 13:44:08
12,Kapaa,22.0752,-159.319,69.8,100,90,8.05,US,2021-01-15 13:44:08
13,Gravdal,68.1214,13.5031,37.4,81,75,5.75,NO,2021-01-15 13:44:08
14,Demmin,53.9076,13.0314,33.01,69,75,11.5,DE,2021-01-15 13:44:08
15,Codrington,-38.2667,141.9667,55.81,78,56,20.54,AU,2021-01-15 13:44:08
16,Nikolskoye,59.7035,30.7861,3.99,85,75,8.95,RU,2021-01-15 13:44:08
17,Punta Arenas,-53.15,-70.9167,50.0,87,90,5.75,CL,2021-01-15 13:40:38
18,Simpang,-1.2667,104.0833,75.83,95,100,1.66,ID,2021-01-15 13:44:08
19,Peace River,56.2501,-117.286,25.0,68,75,11.5,CA,2021-01-15 13:44:08
20,Merauke,-8.4667,140.3333,81.48,84,100,8.43,ID,2021-01-15 13:44:08
21,Vaini,-21.2,-175.2,77.0,94,40,3.44,TO,2021-01-15 13:44:08
22,Barrow,71.2906,-156.7887,-9.4,77,1,13.8,US,2021-01-15 13:44:09
23,Haguenau,48.8156,7.7905,35.6,64,0,10.36,FR,2021-01-15 13:44:09
24,Hushitai,41.9322,123.5114,1.4,55,0,6.71,CN,2021-01-15 13:44:09
25,Port Alfred,-33.5906,26.891,68.0,94,99,5.01,ZA,2021-01-15 13:44:09
26,Lufilufi,-13.8745,-171.5986,77.0,100,20,3.44,WS,2021-01-15 13:44:09
27,Narsaq,60.9167,-46.05,21.2,53,75,1.14,GL,2021-01-15 13:44:09
28,Vanavara,60.34,102.2797,-32.89,80,0,4.56,RU,2021-01-15 13:44:09
29,Hermanus,-34.4187,19.2345,72.0,73,32,4.0,ZA,2021-01-15 13:44:09
30,Mudon,16.2578,97.7164,71.78,67,14,3.85,MM,2021-01-15 13:42:30
31,Huangnihe,43.5583,128.0239,-2.94,90,68,9.98,CN,2021-01-15 13:44:09
32,Komsomolskiy,40.4272,71.7189,42.8,56,0,2.17,UZ,2021-01-15 13:44:09
33,Comodoro Rivadavia,-45.8667,-67.5,59.0,82,90,8.05,AR,2021-01-15 13:44:09
34,Bluff,-46.6,168.3333,56.07,95,6,5.46,NZ,2021-01-15 13:44:09
35,Kaitangata,-46.2817,169.8464,57.96,95,81,1.7,NZ,2021-01-15 13:44:10
36,Samarai,-10.6167,150.6667,83.12,75,100,8.25,PG,2021-01-15 13:44:10
37,Garissa,-0.4536,39.6401,93.36,32,53,5.73,KE,2021-01-15 13:44:10
38,Sao Filipe,14.8961,-24.4956,75.25,60,100,9.6,CV,2021-01-15 13:44:10
39,Coquimbo,-29.9533,-71.3436,59.0,82,75,3.44,CL,2021-01-15 13:43:59
40,Meulaboh,4.1363,96.1285,79.36,78,99,4.56,ID,2021-01-15 13:44:10
41,Westport,41.1415,-73.3579,35.6,93,90,14.97,US,2021-01-15 13:44:10
42,Quebrada Larga,14.1,-86.3667,71.15,76,98,1.45,HN,2021-01-15 13:44:10
43,Kodiak,57.79,-152.4072,35.6,87,90,5.75,US,2021-01-15 13:44:10
44,Kieta,-6.2167,155.6333,81.07,76,100,4.34,PG,2021-01-15 13:44:10
45,Puerto Ayora,-0.7393,-90.3518,73.99,94,50,5.99,EC,2021-01-15 13:44:10
46,Isangel,-19.55,169.2667,79.84,86,100,8.52,VU,2021-01-15 13:44:10
47,Bom Sucesso,-21.0331,-44.7581,76.41,64,31,4.85,BR,2021-01-15 13:44:10
48,Bredasdorp,-34.5322,20.0403,78.8,50,30,20.71,ZA,2021-01-15 13:44:10
49,Karratha,-20.7377,116.8463,90.48,58,85,4.94,AU,2021-01-15 13:44:11
50,Yabelo,4.8833,38.0833,78.87,23,48,4.09,ET,2021-01-15 13:44:11
51,Griffith,41.5284,-87.4237,34.0,93,90,6.91,US,2021-01-15 13:41:16
52,East London,-33.0153,27.9116,87.8,62,0,8.05,ZA,2021-01-15 13:44:11
53,Kathu,7.9178,98.3332,86.0,78,40,2.3,TH,2021-01-15 13:44:11
54,Pueblo Nuevo,23.3833,-105.3833,44.19,49,31,7.61,MX,2021-01-15 13:44:11
55,Bengkulu,-3.8004,102.2655,78.69,81,100,3.31,ID,2021-01-15 13:44:11
56,Mahebourg,-20.4081,57.7,84.2,79,40,14.97,MU,2021-01-15 13:44:11
57,Ranfurly,-45.1333,170.1,53.01,93,1,1.21,NZ,2021-01-15 13:44:11
58,Maceio,-9.6658,-35.7353,84.2,61,40,4.61,BR,2021-01-15 13:39:19
59,Atlantis,-33.5667,18.4834,73.99,78,34,14.81,ZA,2021-01-15 13:44:11
60,Ketchikan,55.3422,-131.6461,44.6,93,90,17.27,US,2021-01-15 13:44:11
61,Takhtamygda,54.1,123.5667,-22.34,84,100,0.76,RU,2021-01-15 13:44:11
62,Avarua,-21.2078,-159.775,78.8,83,75,5.75,CK,2021-01-15 13:44:11
63,Hofn,64.2539,-15.2082,42.01,79,100,13.13,IS,2021-01-15 13:44:11
64,Saint Anthony,45.0205,-93.218,35.01,93,90,16.11,US,2021-01-15 13:43:00
65,Thompson,55.7435,-97.8558,-2.2,84,1,3.44,CA,2021-01-15 13:44:11
66,Port Hedland,-20.3167,118.5667,89.6,74,40,13.8,AU,2021-01-15 13:44:12
67,Mungwi,-10.1732,31.3694,68.94,90,100,8.01,ZM,2021-01-15 13:44:12
68,Ribas Do Rio Pardo,-20.4431,-53.7592,82.45,59,96,5.84,BR,2021-01-15 13:44:12
69,Tuktoyaktuk,69.4541,-133.0374,-19.52,88,83,10.89,CA,2021-01-15 13:44:12
70,Tuatapere,-46.1333,167.6833,53.71,92,4,2.21,NZ,2021-01-15 13:44:12
71,Faanui,-16.4833,-151.75,80.29,77,95,13.22,PF,2021-01-15 13:44:12
72,Bathsheba,13.2167,-59.5167,78.8,83,20,12.66,BB,2021-01-15 13:44:12
73,Nabire,-3.3667,135.4833,78.35,86,100,2.84,ID,2021-01-15 13:44:12
74,Sfantu Gheorghe,45.8667,25.7833,30.99,83,97,1.01,RO,2021-01-15 13:44:12
75,Visnes,59.3556,5.2242,30.2,80,0,3.44,NO,2021-01-15 13:44:12
76,Kavieng,-2.5744,150.7967,82.2,80,100,10.98,PG,2021-01-15 13:44:12
77,Kosonsoy,41.2561,71.5508,39.2,65,0,4.61,UZ,2021-01-15 13:44:12
78,Kavaratti,10.5669,72.642,82.33,76,100,8.99,IN,2021-01-15 13:44:12
79,Geraldton,-28.7667,114.6,91.4,25,27,18.41,AU,2021-01-15 13:44:12
80,Goundam,16.4145,-3.6708,88.54,11,38,14.03,ML,2021-01-15 13:44:12
81,Kamenka,51.3223,42.7678,19.99,93,100,8.43,RU,2021-01-15 13:44:13
82,Pedernales,18.0384,-71.744,79.92,53,100,1.63,DO,2021-01-15 13:44:13
83,Camacha,33.0833,-16.3333,60.8,59,40,5.75,PT,2021-01-15 13:44:13
84,Kahului,20.8947,-156.47,68.0,82,40,3.44,US,2021-01-15 13:44:13
85,Hobart,-42.8794,147.3294,54.0,71,90,9.22,AU,2021-01-15 13:44:13
